domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"0cryptocurrency.xyz","https://0cryptocurrency.xyz",7,"medium_risk","blacklist_match","","crypto",0,4,"false","","","2025-06-29T08:25:15.084Z"
"0meterchasers.com","https://0meterchasers.com",5,"medium_risk","enterprise_target","chase","",0,0,"false","","","2025-06-29T08:25:31.540Z"
"0shadbankpereekazzfopunakarrtkuu.click","https://0shadbankpereekazzfopunakarrtkuu.click",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:25:48.057Z"
"0shadbankpereekazzfopunakarrtss.click","https://0shadbankpereekazzfopunakarrtss.click",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:26:04.945Z"
"0shaddbankperekazznakarts.click","https://0shaddbankperekazznakarts.click",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:26:21.405Z"
"0wallet.xyz","https://0wallet.xyz",6,"medium_risk","blacklist_match","","wallet",0,3,"false","","","2025-06-29T08:26:37.878Z"
"0xaoracle.com","https://0xaoracle.com",5,"medium_risk","enterprise_target","oracle","",0,0,"false","","","2025-06-29T08:26:54.447Z"
"0xauthenticity.xyz","https://0xauthenticity.xyz",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-06-29T08:27:11.058Z"
"0xauthz.xyz","https://0xauthz.xyz",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-06-29T08:27:27.677Z"
"0xbanks.xyz","https://0xbanks.xyz",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:27:44.360Z"
"0xbitcoinbank.xyz","https://0xbitcoinbank.xyz",4,"blacklist_match","blacklist_match","","bitcoin;bank",0,1,"false","","","2025-06-29T08:28:01.195Z"
"0xbitcoinfi.xyz","https://0xbitcoinfi.xyz",4,"blacklist_match","blacklist_match","","bitcoin",0,1,"false","","","2025-06-29T08:28:19.078Z"
"0xbitcoinfinance.xyz","https://0xbitcoinfinance.xyz",4,"blacklist_match","blacklist_match","","bitcoin",0,1,"false","","","2025-06-29T08:28:35.824Z"
"0xbitcoinmarket.xyz","https://0xbitcoinmarket.xyz",4,"blacklist_match","blacklist_match","","bitcoin",0,1,"false","","","2025-06-29T08:28:52.162Z"
"0xbitcoinpay.xyz","https://0xbitcoinpay.xyz",4,"blacklist_match","blacklist_match","","bitcoin",0,1,"false","","","2025-06-29T08:29:09.334Z"
"0xbitcoinswap.xyz","https://0xbitcoinswap.xyz",4,"blacklist_match","blacklist_match","","bitcoin",0,1,"false","","","2025-06-29T08:29:26.560Z"
"0xbitcointrade.xyz","https://0xbitcointrade.xyz",5,"medium_risk","blacklist_match","","bitcoin",0,2,"false","","","2025-06-29T08:29:43.239Z"
"0001-stripe.com","https://0001-stripe.com",5,"medium_risk","enterprise_target","stripe","",0,0,"false","","","2025-06-29T08:30:01.590Z"
"0007betcomlogin.com","https://0007betcomlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:30:18.119Z"
