domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"metacoach.sk","https://metacoach.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:20:35.554Z"
"applesin.se","https://applesin.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-10T13:20:51.879Z"
"metallfakta.se","https://metallfakta.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:21:08.777Z"
"krabbanknut.se","https://krabbanknut.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:21:25.030Z"
"teslacarsbodyshop.sk","https://teslacarsbodyshop.sk",5,"medium_risk","enterprise_target","tesla","",0,0,"false","","","2025-07-10T13:21:41.299Z"
"jetbank.se","https://jetbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:21:57.529Z"
"ns1.casinomedapplepayutansvensklicens.se","https://ns1.casinomedapplepayutansvensklicens.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-10T13:22:13.826Z"
"ns1.casinomedvisakort.se","https://ns1.casinomedvisakort.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-10T13:22:30.428Z"
"teslapoprad.sk","https://teslapoprad.sk",5,"medium_risk","enterprise_target","tesla","",0,0,"false","","","2025-07-10T13:22:46.677Z"
"ns1.casinomedpaypal.se","https://ns1.casinomedpaypal.se",5,"medium_risk","enterprise_target","paypal","",0,0,"false","","","2025-07-10T13:23:02.963Z"
"superiorbank.se","https://superiorbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:23:19.219Z"
"liabank.se","https://liabank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:23:35.487Z"
"bankerydstaklaggareab.se","https://bankerydstaklaggareab.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:23:51.801Z"
"liabanken.se","https://liabanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:24:08.070Z"
"ns2.casinomedapplepayutansvensklicens.se","https://ns2.casinomedapplepayutansvensklicens.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-10T13:24:24.334Z"
"ns1.casinoinstantbanking.se","https://ns1.casinoinstantbanking.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:24:40.573Z"
"artificialsuperintelligence.se","https://artificialsuperintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-10T13:24:56.835Z"
"ns2.casinomedvisakort.se","https://ns2.casinomedvisakort.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-10T13:25:13.073Z"
"metamorfa.se","https://metamorfa.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:25:29.364Z"
"festoolsawstopbordssagtks80.se","https://festoolsawstopbordssagtks80.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:25:45.937Z"
