domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"2xhbcygcp1ki.xyz","https://2xhbcygcp1ki.xyz",5,"medium_risk","gcp","",0,0,"false","","","2025-07-10T14:15:58.480Z"
"304metalworks.com","https://304metalworks.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T14:16:14.733Z"
"31-stripe.com","https://31-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T14:17:03.872Z"
"32-stripe.com","https://32-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T14:17:20.156Z"
"322meta.com","https://322meta.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T14:19:47.538Z"
"328applecross.com","https://328applecross.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T14:20:20.385Z"
"33-stripe.com","https://33-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T14:20:37.105Z"
"365betvisacasino.com","https://365betvisacasino.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T14:24:10.645Z"
"365inteligencia.com","https://365inteligencia.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T14:24:26.956Z"
"36dawson.com","https://36dawson.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:25:15.713Z"
"3besteslagers.com","https://3besteslagers.com",5,"medium_risk","tesla","",0,0,"false","","","2025-07-10T14:26:53.290Z"
"3blazuredrive.com","https://3blazuredrive.com",5,"medium_risk","azure","",0,0,"false","","","2025-07-10T14:27:25.908Z"
"3lawshgoaz.online","https://3lawshgoaz.online",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:29:20.247Z"
"40dateslater.com","https://40dateslater.com",5,"medium_risk","tesla","",0,0,"false","","","2025-07-10T14:30:59.152Z"
"420visas.com","https://420visas.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T14:33:09.832Z"
"482visamine.com","https://482visamine.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T14:37:46.865Z"
"482visamine.net","https://482visamine.net",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T14:38:03.459Z"
"48lawsofaipower.info","https://48lawsofaipower.info",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:38:36.406Z"
"48lawsofaipower.net","https://48lawsofaipower.net",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:38:52.773Z"
"48lawsofaipower.org","https://48lawsofaipower.org",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:39:09.084Z"
"491visa.com","https://491visa.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T14:39:25.810Z"
"4ailaws.com","https://4ailaws.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:40:14.999Z"
"4finteligenciadedados.com","https://4finteligenciadedados.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T14:41:36.396Z"
"4intelligence.xyz","https://4intelligence.xyz",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T14:41:52.732Z"
"4metatrader.com","https://4metatrader.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T14:42:09.323Z"
"4mmetalmecanica.com","https://4mmetalmecanica.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T14:42:25.662Z"
"4paws1heartapp.com","https://4paws1heartapp.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:42:41.935Z"
"4pawsandpurrs.store","https://4pawsandpurrs.store",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:42:58.209Z"
"4pawscareteam.com","https://4pawscareteam.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:43:14.787Z"
"4pawsclaircrestproducts.com","https://4pawsclaircrestproducts.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:43:31.181Z"
"4pawshaus.com","https://4pawshaus.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:43:47.790Z"
"4pawsintake.com","https://4pawsintake.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:44:04.087Z"
