domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,ip_address,country,vt_available,urlscan_available,whois_available,timestamp
"029b.alb.azure.com","https://029b.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:34.201Z"
"029e2971353744a299eac30d63482b1d.alb.azure.com","https://029e2971353744a299eac30d63482b1d.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:34.984Z"
"029e2971353744a299eac30d63482b1d-xds.alb.azure.com","https://029e2971353744a299eac30d63482b1d-xds.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:35.771Z"
"029e.alb.azure.com","https://029e.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:36.558Z"
"02ec9e692aec4e218442a06146fa6f5d.alb.azure.com","https://02ec9e692aec4e218442a06146fa6f5d.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:37.362Z"
"02ec9e692aec4e218442a06146fa6f5d-xds.alb.azure.com","https://02ec9e692aec4e218442a06146fa6f5d-xds.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:38.147Z"
"02ec.alb.azure.com","https://02ec.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:38.933Z"
"02ed006a-3f88-4a9e-b47c-22b9864e990e.vpn.azure.com","https://02ed006a-3f88-4a9e-b47c-22b9864e990e.vpn.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:39.720Z"
"02f59362481742.canadacentral.airflow.svc.datafactory.azure.com","https://02f59362481742.canadacentral.airflow.svc.datafactory.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:40.504Z"
"03019038551728.francecentral.airflow.svc.datafactory.azure.com","https://03019038551728.francecentral.airflow.svc.datafactory.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:41.288Z"
"0310180264.qc.accounting.atalink.com.vn","https://0310180264.qc.accounting.atalink.com.vn",3,"blacklist_match","blacklist_match","","account",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:42.072Z"
"0312364154.qc.accounting.atalink.com.vn","https://0312364154.qc.accounting.atalink.com.vn",3,"blacklist_match","blacklist_match","","account",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:42.857Z"
